5.77, 4, white, Entry
5.77, 4, white, Exit
5.77, 3, white, Entry
5.77, 3, white, Exit
5.77, 4, white, Entry
5.8, 4, white, Exit
5.8, 1, white, Entry
5.8, 1, white, Exit
5.8, 4, white, Entry
5.8, 4, white, Exit
5.8, 3, white, Entry
5.8, 3, white, Exit
5.8, 4, white, Entry
5.8, 4, white, Exit
5.8, 3, white, Entry
5.8, 3, white, Exit
5.8, 4, white, Entry
5.83, 4, white, Exit
5.83, 1, white, Entry
5.83, 1, white, Exit
5.83, 4, white, Entry
5.83, 4, white, Exit
5.83, 3, white, Entry
5.83, 3, white, Exit
5.83, 4, white, Entry
5.87, 4, white, Exit
5.87, 1, white, Entry
5.87, 1, white, Exit
5.87, 4, white, Entry
5.87, 4, white, Exit
5.87, 3, white, Entry
5.87, 3, white, Exit
5.87, 4, white, Entry
5.9, 4, white, Exit
5.9, 1, white, Entry
5.9, 1, white, Exit
5.9, 4, white, Entry
5.9, 4, white, Exit
5.9, 3, white, Entry
5.9, 3, white, Exit
5.9, 4, white, Entry
5.93, 4, white, Exit
5.93, 1, white, Entry
5.93, 1, white, Exit
5.93, 4, white, Entry
5.97, 4, white, Exit
5.97, 1, white, Entry
5.97, 1, white, Exit
5.97, 4, white, Entry
6.0, 4, white, Exit
6.0, 1, white, Entry
6.0, 1, white, Exit
6.0, 4, white, Entry
6.03, 4, white, Exit
6.03, 1, white, Entry
6.03, 1, white, Exit
6.03, 4, white, Entry
6.07, 4, white, Exit
6.07, 1, white, Entry
6.07, 1, white, Exit
6.07, 4, white, Entry
6.1, 4, white, Exit
6.1, 1, white, Entry
6.1, 1, white, Exit
6.1, 4, white, Entry
6.13, 4, white, Exit
6.13, 1, white, Entry
6.13, 1, white, Exit
6.13, 4, white, Entry
6.17, 4, white, Exit
6.17, 1, white, Entry
6.17, 1, white, Exit
6.17, 4, white, Entry
6.17, 4, white, Exit
6.17, 3, white, Entry
6.17, 3, white, Exit
6.17, 4, white, Entry
6.2, 4, white, Exit
6.2, 1, white, Entry
6.2, 1, white, Exit
6.2, 4, white, Entry
6.23, 4, white, Exit
6.23, 1, white, Entry
6.23, 1, white, Exit
6.23, 4, white, Entry
6.23, 4, white, Exit
6.23, 3, white, Entry
6.23, 3, white, Exit
6.23, 4, white, Entry
6.27, 4, white, Exit
6.27, 1, white, Entry
6.27, 1, white, Exit
6.27, 4, white, Entry
6.3, 4, white, Exit
6.3, 1, white, Entry
6.3, 1, white, Exit
6.3, 4, white, Entry
6.33, 4, white, Exit
6.33, 1, white, Entry
6.33, 1, white, Exit
6.33, 4, white, Entry
6.37, 4, white, Exit
6.37, 1, white, Entry
6.37, 1, white, Exit
6.37, 4, white, Entry
6.4, 4, white, Exit
6.4, 1, white, Entry
6.4, 1, white, Exit
6.4, 4, white, Entry
6.43, 4, white, Exit
6.43, 1, white, Entry
6.43, 1, white, Exit
6.43, 4, white, Entry
6.43, 4, white, Exit
6.43, 3, white, Entry
6.43, 3, white, Exit
6.43, 4, white, Entry
6.47, 4, white, Exit
6.47, 1, white, Entry
6.47, 1, white, Exit
6.47, 4, white, Entry
6.5, 4, white, Exit
6.5, 1, white, Entry
6.5, 1, white, Exit
6.5, 4, white, Entry
6.53, 4, white, Exit
6.53, 1, white, Entry
6.53, 1, white, Exit
6.53, 4, white, Entry
6.57, 4, white, Exit
6.57, 1, white, Entry
6.57, 1, white, Exit
6.57, 4, white, Entry
6.6, 4, white, Exit
6.6, 1, white, Entry
6.6, 1, white, Exit
6.6, 4, white, Entry
6.63, 4, white, Exit
6.63, 1, white, Entry
6.63, 1, white, Exit
6.63, 4, white, Entry
6.67, 4, white, Exit
6.67, 1, white, Entry
6.67, 1, white, Exit
6.67, 4, white, Entry
6.7, 4, white, Exit
6.7, 1, white, Entry
6.7, 1, white, Exit
6.7, 4, white, Entry
6.7, 4, white, Exit
6.7, 3, white, Entry
6.7, 3, white, Exit
6.7, 4, white, Entry
6.73, 4, white, Exit
6.73, 1, white, Entry
6.73, 1, white, Exit
6.73, 4, white, Entry
6.77, 4, white, Exit
6.77, 1, white, Entry
6.77, 1, white, Exit
6.77, 4, white, Entry
6.77, 4, white, Exit
6.77, 3, white, Entry
6.77, 3, white, Exit
6.77, 4, white, Entry
6.8, 4, white, Exit
6.8, 1, white, Entry
6.8, 1, white, Exit
6.8, 4, white, Entry
6.83, 4, white, Exit
6.83, 1, white, Entry
6.83, 1, white, Exit
6.83, 4, white, Entry
6.87, 4, white, Exit
6.87, 1, white, Entry
6.87, 1, white, Exit
6.87, 4, white, Entry
6.9, 4, white, Exit
6.9, 1, white, Entry
6.9, 1, white, Exit
6.9, 4, white, Entry
6.93, 4, white, Exit
6.93, 1, white, Entry
6.93, 1, white, Exit
6.93, 4, white, Entry
6.97, 4, white, Exit
6.97, 1, white, Entry
6.97, 1, white, Exit
6.97, 4, white, Entry
6.97, 4, white, Exit
6.97, 3, white, Entry
6.97, 3, white, Exit
6.97, 4, white, Entry
7.0, 4, white, Exit
7.0, 1, white, Entry
7.0, 1, white, Exit
7.0, 4, white, Entry
7.03, 4, white, Exit
7.03, 1, white, Entry
7.03, 1, white, Exit
7.03, 4, white, Entry
7.07, 4, white, Exit
7.07, 1, white, Entry
7.07, 1, white, Exit
7.07, 4, white, Entry
7.1, 4, white, Exit
7.1, 1, white, Entry
7.1, 1, white, Exit
7.1, 4, white, Entry
7.13, 4, white, Exit
7.13, 1, white, Entry
7.13, 1, white, Exit
7.13, 4, white, Entry
7.13, 4, white, Exit
7.13, 3, white, Entry
7.13, 3, white, Exit
7.13, 4, white, Entry
7.17, 4, white, Exit
7.17, 1, white, Entry
7.17, 1, white, Exit
7.17, 4, white, Entry
7.2, 4, white, Exit
7.2, 1, white, Entry
7.2, 1, white, Exit
7.2, 4, white, Entry
7.23, 4, white, Exit
7.23, 1, white, Entry
7.23, 1, white, Exit
7.23, 4, white, Entry
7.27, 4, white, Exit
7.27, 1, white, Entry
7.27, 1, white, Exit
7.27, 4, white, Entry
7.3, 4, white, Exit
7.3, 1, white, Entry
7.3, 1, white, Exit
7.3, 4, white, Entry
7.33, 4, white, Exit
7.33, 1, white, Entry
7.33, 1, white, Exit
7.33, 4, white, Entry
7.37, 4, white, Exit
7.37, 1, white, Entry
7.37, 1, white, Exit
7.37, 4, white, Entry
7.4, 4, white, Exit
7.4, 1, white, Entry
7.4, 1, white, Exit
7.4, 4, white, Entry
7.43, 4, white, Exit
7.43, 1, white, Entry
7.43, 1, white, Exit
7.43, 4, white, Entry
7.47, 4, white, Exit
7.47, 1, white, Entry
7.47, 1, white, Exit
7.47, 4, white, Entry
7.5, 4, white, Exit
7.5, 1, white, Entry
7.5, 1, white, Exit
7.5, 4, white, Entry
7.53, 4, white, Exit
7.53, 1, white, Entry
7.53, 1, white, Exit
7.53, 4, white, Entry
7.57, 4, white, Exit
7.57, 1, white, Entry
7.57, 1, white, Exit
7.57, 4, white, Entry
7.6, 4, white, Exit
7.6, 1, white, Entry
7.6, 1, white, Exit
7.6, 4, white, Entry
7.63, 4, white, Exit
7.63, 1, white, Entry
7.63, 1, white, Exit
7.63, 4, white, Entry
7.67, 4, white, Exit
7.67, 1, white, Entry
7.67, 1, white, Exit
7.67, 4, white, Entry
7.7, 4, white, Exit
7.7, 1, white, Entry
7.7, 1, white, Exit
7.7, 4, white, Entry
7.73, 4, white, Exit
7.73, 1, white, Entry
7.73, 1, white, Exit
7.73, 4, white, Entry
7.77, 4, white, Exit
7.77, 1, white, Entry
7.77, 1, white, Exit
7.77, 4, white, Entry
7.8, 4, white, Exit
7.8, 1, white, Entry
7.8, 1, white, Exit
7.8, 4, white, Entry
7.83, 4, white, Exit
7.83, 1, white, Entry
7.83, 1, white, Exit
7.83, 4, white, Entry
7.87, 4, white, Exit
7.87, 1, white, Entry
7.87, 1, white, Exit
7.87, 4, white, Entry
7.9, 4, white, Exit
7.9, 1, white, Entry
7.9, 1, white, Exit
7.9, 4, white, Entry
7.93, 4, white, Exit
7.93, 1, white, Entry
7.93, 1, white, Exit
7.93, 4, white, Entry
7.97, 4, white, Exit
7.97, 1, white, Entry
7.97, 1, white, Exit
7.97, 4, white, Entry
8.0, 4, white, Exit
8.0, 1, white, Entry
8.0, 1, white, Exit
8.0, 4, white, Entry
8.03, 4, white, Exit
8.03, 1, white, Entry
8.03, 1, white, Exit
8.03, 4, white, Entry
8.07, 4, white, Exit
8.07, 1, white, Entry
8.07, 1, white, Exit
8.07, 4, white, Entry
